temperatura,humedad,aguaEnSuelo,tipoSuelo,tipoCultivo,nitrogeno,potasio,fosforo,nombreFertilizante
30.71,58.51,42.79,Arenoso,Maiz,38,0,4,28-28
37.97,62.65,56.53,Rojo,NuecesMani,6,4,15,DAP
35.46,70.84,62.84,Negro,Maiz,9,0,38,20-20
30.08,61.49,52.42,Rojo,SemillasOleaginosas,5,0,6,10-26-26
33.82,61.25,59.51,Negro,Algodon,15,13,14,28-28
29.05,54.64,49.53,Arcilloso,Arrozal,11,0,6,10-26-26
40.0,72.25,45.19,Arcilloso,Mijo,16,0,36,DAP
22.51,50.31,30.59,Arcilloso,Maiz,17,12,10,DAP
32.06,78.41,36.96,Franco,Trigo,9,0,44,10-26-26
39.91,60.35,29.4,Franco,SemillasOleaginosas,10,3,26,14-35-14
32.83,59.11,29.94,Arcilloso,Tabaco,10,0,42,17-17-17
28.99,56.86,47.2,Rojo,CañaAzucar,19,0,22,DAP
31.08,73.05,43.81,Negro,Tabaco,4,6,33,14-35-14
36.75,71.25,31.9,Arenoso,Arrozal,10,3,38,17-17-17
29.59,64.77,26.04,Rojo,Arrozal,40,0,0,17-17-17
29.95,61.65,70.0,Franco,CañaAzucar,9,5,31,20-20
28.74,51.47,58.63,Arcilloso,Maiz,9,11,35,28-28
37.6,71.43,54.12,Arcilloso,NuecesMani,34,2,3,20-20
38.31,77.54,38.22,Negro,Trigo,12,0,41,14-35-14
33.09,65.12,37.71,Rojo,Legumbres,19,0,24,20-20
36.17,64.23,54.97,Franco,SemillasOleaginosas,33,0,4,14-35-14
40.0,58.41,25.99,Arcilloso,CañaAzucar,16,0,16,DAP
23.4,62.09,20.0,Arcilloso,Mijo,9,3,38,20-20
22.76,48.08,34.55,Franco,Maiz,37,4,0,Urea
23.01,46.97,52.66,Arenoso,Maiz,8,1,11,14-35-14
36.87,74.71,25.27,Arenoso,Cebada,12,0,34,17-17-17
26.86,50.54,67.65,Franco,Legumbres,8,0,8,DAP
30.79,62.82,29.74,Negro,Cebada,12,0,14,14-35-14
37.88,56.28,34.78,Arenoso,Legumbres,14,0,41,DAP
33.59,73.86,52.09,Arenoso,SemillasOleaginosas,24,0,19,17-17-17
24.23,40.87,63.97,Negro,SemillasOleaginosas,14,8,13,20-20
29.22,68.58,68.54,Arcilloso,Legumbres,5,12,28,10-26-26
34.83,74.84,38.55,Arcilloso,Cebada,13,1,36,14-35-14
40.0,72.53,69.09,Franco,Cebada,19,0,44,10-26-26
32.53,66.27,24.96,Rojo,CañaAzucar,24,0,22,14-35-14
34.05,57.39,35.01,Franco,Mijo,5,3,33,20-20
33.84,78.28,54.01,Arenoso,NuecesMani,10,8,31,Urea
26.13,59.47,53.78,Negro,Arrozal,6,0,6,Urea
32.31,65.98,51.84,Rojo,Trigo,10,11,8,28-28
27.78,63.49,36.53,Rojo,Maiz,19,0,13,10-26-26
30.03,59.76,24.55,Arenoso,Cebada,40,0,0,Urea
32.22,56.23,20.0,Rojo,SemillasOleaginosas,8,6,28,Urea
29.46,59.59,27.28,Arenoso,SemillasOleaginosas,23,3,18,17-17-17
28.6,61.06,46.54,Negro,NuecesMani,1,20,15,Urea
36.31,72.79,46.6,Arenoso,Cebada,22,0,20,DAP
25.53,60.96,23.48,Negro,Legumbres,32,0,0,14-35-14
32.69,55.03,46.23,Negro,Algodon,26,0,14,28-28
30.11,57.34,25.96,Franco,Legumbres,44,0,0,10-26-26
27.71,61.57,28.73,Franco,CañaAzucar,14,18,12,17-17-17
32.34,57.71,24.9,Franco,Maiz,6,11,33,DAP
38.2,60.72,31.82,Arenoso,Tabaco,11,3,39,28-28
38.64,77.51,43.0,Arenoso,Cebada,40,4,0,DAP
27.61,69.47,34.64,Negro,Maiz,6,0,8,Urea
29.73,65.44,62.54,Arenoso,Arrozal,9,10,25,17-17-17
24.65,57.12,52.24,Franco,SemillasOleaginosas,9,3,36,DAP
24.61,59.11,55.45,Arcilloso,SemillasOleaginosas,7,0,6,DAP
27.55,50.87,37.69,Franco,Trigo,24,0,21,14-35-14
27.77,68.01,52.99,Negro,Algodon,16,0,30,Urea
31.08,59.06,47.05,Arenoso,Tabaco,39,0,1,14-35-14
27.26,62.16,33.59,Negro,Cebada,11,8,25,28-28
24.69,55.52,22.39,Arcilloso,NuecesMani,13,1,44,14-35-14
33.35,65.13,26.44,Arcilloso,Trigo,37,0,0,14-35-14
33.4,49.71,50.01,Arcilloso,CañaAzucar,25,4,20,20-20
32.29,62.66,37.32,Arcilloso,Cebada,2,8,32,Urea
23.48,58.98,66.26,Arcilloso,SemillasOleaginosas,32,0,0,Urea
35.91,64.54,51.18,Arcilloso,Tabaco,38,0,0,Urea
23.18,59.48,46.95,Arenoso,CañaAzucar,22,0,23,Urea
37.6,61.35,36.62,Rojo,Cebada,35,1,0,14-35-14
34.08,67.3,66.45,Negro,Trigo,5,6,32,Urea
38.16,64.57,44.12,Arenoso,Algodon,6,5,27,10-26-26
34.31,75.92,40.55,Arcilloso,Algodon,8,10,27,20-20
28.13,62.39,53.4,Franco,Algodon,15,0,8,14-35-14
25.04,66.1,46.92,Arcilloso,Legumbres,4,13,25,17-17-17
35.22,56.07,66.76,Rojo,Tabaco,25,1,19,Urea
33.39,58.29,46.97,Negro,Trigo,12,4,5,Urea
31.97,56.43,38.33,Rojo,NuecesMani,20,0,25,DAP
29.39,52.92,44.26,Rojo,CañaAzucar,14,0,11,10-26-26
28.22,63.09,31.79,Franco,SemillasOleaginosas,41,1,4,10-26-26
28.99,57.8,41.7,Negro,Trigo,33,0,1,DAP
31.7,60.31,42.96,Franco,Cebada,17,0,22,20-20
28.82,62.02,40.63,Arcilloso,Maiz,11,9,29,14-35-14
31.71,52.75,30.13,Arcilloso,SemillasOleaginosas,11,12,13,14-35-14
27.04,53.79,60.68,Negro,Mijo,10,12,31,DAP
28.31,66.5,29.81,Arcilloso,Mijo,18,0,27,20-20
27.83,55.13,30.2,Franco,Trigo,27,2,19,14-35-14
30.04,58.87,38.82,Arcilloso,Arrozal,2,17,12,28-28
35.85,70.43,52.65,Negro,Trigo,6,0,15,20-20
32.69,55.16,54.36,Rojo,Arrozal,38,0,4,28-28
25.42,55.67,20.0,Franco,Tabaco,8,0,41,Urea
36.08,58.63,55.26,Negro,Algodon,19,0,37,10-26-26
32.87,55.38,34.81,Franco,Maiz,38,0,2,20-20
33.54,64.83,36.55,Arcilloso,Cebada,6,7,31,10-26-26
24.47,48.83,63.87,Arcilloso,Legumbres,9,0,9,Urea
30.37,59.55,46.99,Arenoso,Algodon,18,0,24,DAP
34.67,56.47,33.94,Negro,Algodon,20,0,22,14-35-14
30.85,62.67,70.0,Franco,Maiz,37,3,4,28-28
30.26,51.93,67.2,Arenoso,Tabaco,15,0,42,Urea
31.2,58.13,55.28,Arcilloso,Maiz,1,19,12,20-20
30.08,70.01,35.0,Arcilloso,CañaAzucar,22,0,17,20-20
30.41,57.18,58.29,Rojo,Arrozal,7,5,27,28-28
29.58,55.83,32.4,Arenoso,CañaAzucar,45,1,2,17-17-17
24.66,51.66,45.41,Negro,Trigo,25,0,25,14-35-14
33.91,67.92,38.66,Negro,SemillasOleaginosas,9,0,7,17-17-17
26.95,47.7,20.39,Arcilloso,NuecesMani,10,3,13,17-17-17
26.25,56.03,69.41,Arenoso,CañaAzucar,7,7,16,10-26-26
26.88,54.41,28.3,Arcilloso,Maiz,24,0,15,10-26-26
38.72,72.63,44.83,Negro,Arrozal,37,4,0,14-35-14
29.2,55.04,68.65,Franco,Mijo,2,9,33,20-20
24.84,54.15,44.72,Arcilloso,Maiz,37,3,4,10-26-26
31.87,61.74,41.71,Arenoso,CañaAzucar,8,1,10,Urea
33.22,55.48,63.02,Rojo,Tabaco,7,6,34,28-28
33.82,72.77,45.9,Arenoso,Arrozal,17,0,12,17-17-17
40.0,66.66,43.95,Negro,Mijo,39,0,0,28-28
23.32,51.38,36.32,Arcilloso,Arrozal,11,0,40,20-20
35.87,59.89,50.2,Arcilloso,Legumbres,1,16,19,14-35-14
35.78,74.8,29.82,Negro,NuecesMani,8,4,13,28-28
28.48,54.42,23.99,Rojo,Maiz,8,4,27,20-20
26.58,48.73,49.63,Franco,Tabaco,25,1,24,DAP
26.2,54.23,41.59,Rojo,SemillasOleaginosas,0,14,14,20-20
33.25,59.02,58.34,Negro,Tabaco,14,0,31,14-35-14
32.1,66.19,31.38,Arcilloso,Arrozal,44,0,0,28-28
21.71,58.45,32.63,Arenoso,Legumbres,18,0,20,14-35-14
37.74,72.77,41.36,Arcilloso,Legumbres,4,12,33,17-17-17
40.0,74.04,47.46,Negro,Algodon,41,4,3,DAP
26.52,54.16,39.44,Arcilloso,Tabaco,12,0,10,10-26-26
31.34,61.15,61.58,Negro,Legumbres,8,0,8,10-26-26
26.47,52.11,39.99,Negro,CañaAzucar,10,2,9,DAP
25.28,45.69,24.19,Franco,CañaAzucar,38,0,0,17-17-17
31.12,58.29,37.01,Arcilloso,NuecesMani,8,9,30,Urea
27.26,62.29,46.78,Arenoso,Arrozal,22,4,19,10-26-26
24.52,45.6,63.28,Rojo,Tabaco,40,0,2,Urea
35.75,63.57,38.89,Franco,Cebada,36,0,1,28-28
25.55,63.42,27.81,Franco,Arrozal,5,17,14,DAP
30.84,63.15,54.37,Negro,Tabaco,22,1,19,20-20
28.63,52.84,34.25,Arcilloso,Maiz,21,4,18,14-35-14
32.94,72.52,37.15,Arenoso,Cebada,10,0,41,17-17-17
37.38,69.43,42.68,Franco,SemillasOleaginosas,38,0,0,14-35-14
22.27,40.25,63.8,Arcilloso,CañaAzucar,12,2,11,10-26-26
25.84,44.81,44.37,Rojo,SemillasOleaginosas,9,5,24,DAP
33.02,49.45,31.28,Negro,Cebada,15,0,38,10-26-26
30.45,57.02,53.78,Arenoso,CañaAzucar,13,3,35,17-17-17
37.66,55.23,31.77,Arcilloso,Maiz,12,4,41,17-17-17
34.19,63.11,35.01,Arcilloso,Algodon,14,2,40,Urea
32.13,55.38,43.65,Negro,CañaAzucar,23,0,16,Urea
36.31,62.76,31.8,Arenoso,Trigo,33,0,0,20-20
30.0,48.39,24.07,Arcilloso,Maiz,8,0,41,14-35-14
32.96,52.26,42.35,Arcilloso,Tabaco,17,0,4,DAP
30.6,52.99,29.12,Arenoso,SemillasOleaginosas,24,0,25,17-17-17
23.83,52.78,20.0,Negro,Legumbres,4,14,34,20-20
23.74,48.91,62.89,Arenoso,Arrozal,8,14,13,28-28
22.61,51.15,40.5,Arenoso,Cebada,38,0,0,Urea
22.26,58.83,33.35,Rojo,Mijo,23,0,26,10-26-26
27.42,50.44,30.86,Franco,Mijo,15,3,9,10-26-26
32.38,55.82,40.91,Arenoso,SemillasOleaginosas,8,9,17,DAP
32.77,60.55,61.77,Arcilloso,CañaAzucar,3,10,28,20-20
28.08,58.59,44.33,Rojo,Mijo,24,3,20,14-35-14
38.07,67.05,32.47,Arenoso,Trigo,14,0,35,20-20
25.38,57.54,70.0,Negro,Cebada,36,0,0,Urea
26.79,43.38,41.56,Arcilloso,SemillasOleaginosas,24,3,23,Urea
22.05,52.83,36.27,Rojo,CañaAzucar,14,4,45,20-20
31.02,47.08,52.83,Franco,Legumbres,9,3,25,20-20
28.97,59.7,23.81,Franco,SemillasOleaginosas,39,2,3,28-28
29.42,56.7,47.96,Negro,Maiz,39,0,0,10-26-26
29.51,56.65,41.98,Franco,Mijo,22,0,28,DAP
25.84,57.48,40.97,Rojo,Legumbres,5,7,32,10-26-26
35.66,53.57,31.42,Arenoso,NuecesMani,43,0,3,17-17-17
30.28,53.79,45.41,Negro,NuecesMani,14,6,24,DAP
33.46,60.18,43.06,Negro,Maiz,21,0,20,17-17-17
22.05,46.19,28.77,Arcilloso,NuecesMani,16,0,15,28-28
40.0,67.16,44.64,Arenoso,Algodon,36,1,0,14-35-14
35.64,57.39,53.46,Franco,Algodon,7,12,10,Urea
32.0,69.37,40.63,Rojo,Mijo,9,0,11,14-35-14
28.35,55.27,47.18,Franco,Cebada,7,0,11,20-20
36.17,70.81,32.25,Arcilloso,CañaAzucar,12,0,35,17-17-17
26.26,49.17,33.65,Franco,Legumbres,20,0,20,28-28
29.77,53.93,44.28,Arenoso,Tabaco,15,4,37,DAP
28.12,49.45,37.57,Arenoso,CañaAzucar,18,2,16,DAP
31.84,54.29,26.55,Franco,Arrozal,42,0,3,20-20
34.76,56.86,47.11,Rojo,Trigo,16,4,6,Urea
30.08,49.47,60.63,Negro,Arrozal,11,3,32,20-20
23.0,60.54,38.01,Rojo,SemillasOleaginosas,30,0,4,28-28
25.3,50.39,29.86,Rojo,CañaAzucar,7,13,15,10-26-26
29.65,55.27,57.09,Negro,Mijo,8,4,36,14-35-14
28.53,57.4,65.78,Arcilloso,Trigo,13,0,6,17-17-17
23.52,62.06,63.73,Rojo,Trigo,13,2,16,DAP
26.74,51.72,49.96,Franco,SemillasOleaginosas,17,1,21,10-26-26
36.27,58.72,31.17,Franco,Legumbres,9,0,34,DAP
30.8,59.23,32.46,Arcilloso,NuecesMani,8,19,11,28-28
34.33,61.6,35.53,Arcilloso,Maiz,22,0,22,DAP
25.38,61.44,49.36,Arenoso,Trigo,43,0,3,DAP
26.37,46.29,20.0,Negro,Algodon,7,13,30,DAP
35.61,69.21,45.08,Arcilloso,CañaAzucar,26,0,17,10-26-26
26.38,57.12,57.3,Arenoso,Cebada,10,7,32,20-20
26.28,53.99,20.0,Arenoso,Algodon,12,14,12,17-17-17
33.29,64.15,33.58,Franco,Arrozal,22,4,20,20-20
32.06,58.25,33.38,Arcilloso,Tabaco,9,8,33,10-26-26
39.4,57.28,40.19,Negro,Tabaco,13,0,40,14-35-14
40.0,68.47,49.84,Rojo,Maiz,18,0,38,10-26-26
38.66,61.44,26.03,Negro,Legumbres,10,0,36,Urea
38.84,59.67,60.84,Franco,Arrozal,7,17,9,14-35-14
31.42,54.93,41.21,Arcilloso,NuecesMani,11,1,7,10-26-26
31.94,52.61,58.38,Franco,Mijo,16,0,8,Urea
33.81,55.89,56.88,Arcilloso,Legumbres,10,2,33,10-26-26
28.61,59.13,22.9,Arcilloso,CañaAzucar,37,0,1,10-26-26
33.41,53.69,63.42,Rojo,Cebada,10,3,13,14-35-14
29.76,60.63,45.62,Negro,Trigo,33,0,0,28-28
31.81,66.62,69.44,Arenoso,Legumbres,25,3,23,20-20
29.8,65.49,61.86,Arenoso,Algodon,10,10,12,20-20
40.0,61.65,27.12,Rojo,NuecesMani,9,2,44,DAP
29.2,62.74,46.45,Negro,Maiz,3,20,16,28-28
35.08,55.2,65.28,Rojo,Tabaco,10,3,42,17-17-17
26.46,63.81,50.64,Arenoso,Tabaco,12,12,9,DAP
27.05,62.62,35.54,Franco,Mijo,37,0,2,Urea
24.98,62.27,48.83,Arcilloso,Maiz,21,0,20,14-35-14
30.73,64.04,58.01,Negro,Algodon,12,4,37,Urea
38.05,68.85,57.68,Negro,Trigo,9,13,29,28-28
32.47,67.69,65.89,Franco,Trigo,38,2,0,28-28
33.86,54.7,28.74,Arenoso,NuecesMani,36,2,1,17-17-17
31.07,61.96,50.7,Arenoso,Tabaco,11,14,22,28-28
34.71,54.61,40.22,Arcilloso,CañaAzucar,14,4,4,DAP
37.76,58.09,57.42,Franco,NuecesMani,20,0,22,17-17-17
35.18,74.22,33.33,Arenoso,Trigo,11,0,45,10-26-26
29.31,62.5,47.47,Rojo,NuecesMani,24,2,21,17-17-17
27.15,60.37,37.43,Rojo,Trigo,38,2,0,10-26-26
25.93,53.67,42.39,Arcilloso,Arrozal,27,1,23,Urea
30.13,48.9,67.41,Franco,Arrozal,12,0,33,DAP
37.89,61.9,29.68,Franco,Algodon,4,7,27,17-17-17
32.93,68.18,34.78,Arenoso,Tabaco,40,0,0,28-28
31.28,61.86,62.26,Negro,Maiz,17,0,35,Urea
28.76,40.17,64.52,Arenoso,Mijo,14,10,15,20-20
23.56,43.25,20.0,Negro,Algodon,10,16,8,10-26-26
27.83,49.73,58.42,Arcilloso,Mijo,10,0,9,28-28
22.65,53.84,38.27,Arenoso,CañaAzucar,19,0,17,10-26-26
30.17,60.55,43.86,Arcilloso,CañaAzucar,10,12,16,17-17-17
34.6,69.2,49.03,Arcilloso,Mijo,11,2,35,10-26-26
24.45,57.16,37.8,Negro,Cebada,10,0,41,14-35-14
26.81,59.31,70.0,Rojo,SemillasOleaginosas,11,12,26,DAP
26.37,62.64,41.83,Arcilloso,NuecesMani,13,0,9,28-28
36.73,55.27,32.64,Franco,CañaAzucar,20,2,22,Urea
28.61,53.73,50.17,Arcilloso,Mijo,5,6,29,DAP
33.97,70.45,35.84,Arenoso,CañaAzucar,8,1,36,Urea
31.01,70.62,28.39,Arenoso,Legumbres,25,0,21,DAP
32.51,57.48,30.67,Arenoso,CañaAzucar,12,0,17,28-28
37.75,55.56,50.84,Rojo,Tabaco,40,1,0,10-26-26
29.18,45.12,49.86,Arcilloso,NuecesMani,19,3,24,20-20
39.61,73.34,50.25,Arenoso,SemillasOleaginosas,41,0,4,Urea
28.4,58.17,39.15,Rojo,Arrozal,33,0,0,10-26-26
34.28,67.15,39.35,Rojo,Arrozal,26,0,26,14-35-14
31.35,59.91,24.9,Negro,CañaAzucar,15,13,12,28-28
32.56,55.34,46.86,Arenoso,Mijo,34,0,0,14-35-14
32.1,57.13,37.58,Arcilloso,Legumbres,26,3,19,14-35-14
34.65,63.66,47.3,Arcilloso,Mijo,8,4,25,DAP
30.12,51.7,31.85,Franco,Mijo,40,0,4,20-20
37.03,72.04,29.53,Franco,NuecesMani,7,11,29,28-28
30.58,56.52,48.44,Arenoso,Tabaco,40,0,0,Urea
31.32,56.57,40.22,Arenoso,Tabaco,24,4,19,20-20
33.03,66.07,33.81,Rojo,Algodon,39,0,0,10-26-26
32.53,62.34,30.4,Arcilloso,CañaAzucar,40,0,0,10-26-26
26.58,42.83,35.09,Arenoso,SemillasOleaginosas,12,12,7,17-17-17
29.13,73.22,52.98,Negro,CañaAzucar,41,2,1,20-20
28.23,56.74,28.06,Arcilloso,CañaAzucar,37,2,0,20-20
36.2,64.43,57.43,Negro,Tabaco,4,3,9,17-17-17
23.37,45.91,67.84,Arenoso,CañaAzucar,40,0,0,20-20
40.0,53.38,47.05,Rojo,SemillasOleaginosas,12,0,37,28-28
26.83,54.4,41.76,Franco,CañaAzucar,40,0,3,20-20
33.02,65.44,50.47,Franco,Trigo,6,12,28,28-28
29.16,53.59,60.85,Arenoso,Legumbres,14,6,33,14-35-14
31.59,71.2,27.7,Negro,Arrozal,23,0,22,28-28
33.15,58.53,32.29,Franco,CañaAzucar,3,7,34,DAP
26.27,48.43,36.14,Franco,Maiz,15,0,8,17-17-17
35.1,61.71,41.61,Rojo,Algodon,42,0,0,Urea
24.59,47.16,21.81,Arcilloso,Cebada,15,0,36,14-35-14
29.4,52.91,43.18,Negro,Legumbres,9,14,12,17-17-17
28.05,52.74,43.39,Arenoso,Legumbres,4,21,17,17-17-17
24.59,59.0,58.71,Negro,NuecesMani,11,0,17,10-26-26
27.09,50.45,54.43,Franco,CañaAzucar,11,10,36,Urea
26.63,61.32,55.43,Negro,SemillasOleaginosas,9,0,13,14-35-14
29.32,66.28,55.01,Franco,CañaAzucar,11,0,12,10-26-26
25.75,55.81,39.52,Arcilloso,Trigo,8,9,14,DAP
29.62,61.0,31.32,Negro,Maiz,42,3,0,14-35-14
23.85,60.61,56.48,Negro,SemillasOleaginosas,10,0,9,Urea
31.15,59.56,27.97,Negro,Algodon,9,4,38,14-35-14
28.76,55.72,49.49,Negro,Mijo,37,0,2,10-26-26
31.33,67.83,68.19,Arenoso,Cebada,26,0,15,17-17-17
38.04,73.24,69.06,Franco,Cebada,16,1,42,20-20
29.22,57.29,29.75,Arcilloso,Trigo,11,13,33,14-35-14
30.67,66.76,52.32,Arenoso,Maiz,26,3,25,20-20
30.39,54.66,40.53,Negro,Cebada,6,19,18,DAP
24.04,44.61,65.64,Franco,Legumbres,40,0,0,Urea
24.04,54.47,46.62,Negro,Cebada,12,0,39,14-35-14
30.21,53.36,54.28,Arcilloso,SemillasOleaginosas,13,10,28,10-26-26
36.53,60.86,45.04,Negro,NuecesMani,9,1,35,28-28
23.6,54.64,32.83,Arenoso,Cebada,21,1,16,14-35-14
24.21,49.11,62.53,Arcilloso,Tabaco,7,0,13,Urea
28.95,45.51,33.51,Rojo,Mijo,14,4,43,17-17-17
28.75,60.69,32.81,Negro,Cebada,7,8,34,28-28
29.43,60.47,58.66,Arcilloso,SemillasOleaginosas,17,0,35,17-17-17
35.11,67.01,48.64,Negro,CañaAzucar,9,3,32,14-35-14
33.94,62.53,22.09,Negro,Cebada,13,19,18,DAP
30.89,58.68,33.78,Arenoso,Maiz,34,2,3,DAP
33.14,60.57,35.83,Rojo,Cebada,25,2,23,17-17-17
29.9,51.27,49.74,Arcilloso,SemillasOleaginosas,8,0,8,20-20
32.53,58.97,39.94,Rojo,NuecesMani,7,0,14,10-26-26
25.9,47.84,31.55,Arenoso,Legumbres,11,2,14,14-35-14
34.13,59.23,63.23,Franco,CañaAzucar,5,6,29,Urea
30.53,65.11,53.95,Arcilloso,Mijo,13,0,7,10-26-26
26.0,66.36,26.96,Arcilloso,CañaAzucar,13,12,18,14-35-14
27.4,54.83,69.04,Franco,Algodon,9,7,15,20-20
38.44,62.45,46.09,Rojo,NuecesMani,42,0,0,17-17-17
29.37,62.57,51.8,Rojo,Trigo,10,0,45,28-28
29.54,67.83,40.1,Franco,Algodon,26,2,24,Urea
31.31,48.85,25.68,Negro,CañaAzucar,30,1,4,28-28
32.51,67.8,42.49,Negro,CañaAzucar,14,0,41,17-17-17
28.24,48.4,33.28,Rojo,Tabaco,31,4,0,17-17-17
39.87,60.83,56.01,Arcilloso,Cebada,18,0,40,DAP
22.54,44.49,64.67,Arcilloso,Cebada,14,9,15,17-17-17
39.58,71.07,39.53,Franco,Legumbres,7,1,39,DAP
36.66,60.99,46.13,Franco,Trigo,42,1,0,20-20
30.67,59.09,30.58,Rojo,CañaAzucar,37,4,3,20-20
28.01,54.25,39.67,Rojo,Maiz,23,4,14,28-28
25.01,43.66,44.44,Franco,SemillasOleaginosas,7,13,17,20-20
29.26,60.28,34.61,Franco,CañaAzucar,45,0,3,28-28
35.64,76.74,55.07,Franco,CañaAzucar,35,4,0,DAP
25.85,59.28,48.78,Rojo,Cebada,14,2,34,14-35-14
27.37,52.08,45.62,Arcilloso,Maiz,11,1,45,28-28
26.57,53.34,23.1,Negro,Tabaco,13,0,36,14-35-14
36.24,55.86,52.22,Arenoso,NuecesMani,8,2,15,DAP
39.58,56.11,42.44,Arenoso,Tabaco,18,0,45,28-28
33.06,52.39,40.7,Franco,Mijo,26,3,20,Urea
32.03,57.94,48.58,Arcilloso,Trigo,17,1,17,17-17-17
26.9,57.31,68.61,Negro,Algodon,14,12,17,14-35-14
33.47,59.46,64.44,Arenoso,Trigo,6,0,16,28-28
40.0,62.39,45.31,Arcilloso,Arrozal,8,0,41,Urea
31.98,60.7,35.91,Franco,Legumbres,12,12,17,Urea
32.84,62.04,32.05,Arenoso,CañaAzucar,15,0,13,17-17-17
27.96,54.06,47.23,Negro,Mijo,11,0,17,14-35-14
32.11,71.86,56.34,Arcilloso,Cebada,8,0,11,20-20
37.68,71.36,32.07,Arcilloso,NuecesMani,11,4,40,Urea
33.29,72.81,38.08,Rojo,Tabaco,5,19,25,10-26-26
24.24,45.3,68.56,Arcilloso,Cebada,13,0,10,20-20
29.39,58.92,32.77,Arenoso,Trigo,6,20,14,20-20
34.12,78.05,45.51,Arenoso,SemillasOleaginosas,40,0,4,Urea
31.46,60.92,35.26,Negro,Cebada,10,2,39,20-20
25.84,46.79,35.77,Arcilloso,Arrozal,43,0,0,10-26-26
30.65,57.55,43.54,Negro,Maiz,22,0,23,Urea
36.25,60.68,42.98,Negro,CañaAzucar,6,8,28,17-17-17
28.64,69.09,42.89,Franco,Algodon,28,2,17,14-35-14
30.28,59.17,40.52,Rojo,Legumbres,10,0,8,20-20
36.5,52.36,24.4,Rojo,Arrozal,14,4,32,17-17-17
21.57,50.51,47.72,Negro,Trigo,18,0,14,DAP
33.9,74.86,57.18,Arenoso,Trigo,19,0,42,Urea
37.18,70.69,58.98,Rojo,CañaAzucar,36,1,0,20-20
33.28,76.03,40.66,Arcilloso,Cebada,9,17,19,28-28
29.85,58.07,42.1,Arenoso,Tabaco,10,17,15,20-20
21.99,53.33,61.68,Rojo,SemillasOleaginosas,5,3,14,14-35-14
23.41,43.66,20.16,Arcilloso,Legumbres,38,0,0,14-35-14
30.29,46.16,40.66,Arcilloso,Arrozal,32,0,0,DAP
31.65,57.0,56.28,Rojo,SemillasOleaginosas,4,12,24,14-35-14
32.15,58.22,58.63,Arcilloso,Algodon,28,0,19,DAP
30.74,62.79,50.57,Arenoso,Tabaco,9,2,10,Urea
22.28,49.97,42.28,Arcilloso,Legumbres,44,0,0,Urea
29.84,42.95,34.38,Arcilloso,CañaAzucar,10,13,19,14-35-14
36.14,74.84,61.48,Arenoso,Tabaco,18,1,37,17-17-17
39.75,66.91,26.89,Negro,Cebada,12,4,27,10-26-26
30.44,68.6,66.26,Arcilloso,Cebada,26,0,16,14-35-14
30.86,51.58,34.05,Rojo,Mijo,11,1,43,20-20
30.22,65.07,28.06,Rojo,Algodon,22,1,18,Urea
30.08,52.22,52.78,Rojo,SemillasOleaginosas,12,4,33,28-28
37.77,72.96,37.53,Negro,Tabaco,16,0,35,10-26-26
20.55,57.33,36.43,Rojo,Trigo,25,0,16,DAP
30.4,60.18,28.18,Franco,Algodon,36,0,0,DAP
28.3,62.72,42.06,Arcilloso,Trigo,40,0,0,20-20
33.03,50.75,42.07,Franco,CañaAzucar,12,0,33,17-17-17
24.26,66.8,29.59,Franco,Cebada,12,0,40,17-17-17
36.13,61.57,35.14,Franco,Maiz,40,1,4,14-35-14
36.76,72.35,33.65,Negro,Arrozal,12,3,9,14-35-14
30.12,52.36,33.8,Arenoso,Cebada,28,0,19,28-28
22.16,43.31,42.41,Rojo,Legumbres,18,0,9,14-35-14
32.65,68.89,29.69,Arcilloso,Mijo,8,0,6,14-35-14
26.89,51.17,70.0,Arcilloso,CañaAzucar,37,3,4,10-26-26
33.44,59.53,70.0,Arcilloso,Algodon,12,0,41,DAP
29.67,47.88,23.8,Rojo,NuecesMani,25,4,18,10-26-26
25.12,50.56,52.48,Arenoso,Mijo,13,1,11,28-28
36.37,67.68,30.08,Franco,Tabaco,39,0,2,17-17-17
29.06,68.31,52.37,Rojo,NuecesMani,16,0,10,14-35-14
25.78,64.69,32.38,Franco,Cebada,13,4,38,28-28
30.4,55.27,41.63,Arcilloso,NuecesMani,17,2,29,DAP
36.0,59.46,52.35,Arcilloso,Trigo,9,13,10,28-28
25.43,48.84,35.9,Negro,Legumbres,35,0,0,17-17-17
34.49,54.23,21.17,Negro,CañaAzucar,16,1,38,DAP
30.5,59.68,35.22,Negro,Trigo,11,4,18,Urea
24.25,67.07,21.47,Franco,Tabaco,12,15,20,17-17-17
35.42,65.57,43.67,Arcilloso,Legumbres,44,4,0,17-17-17
30.41,64.96,48.09,Negro,Legumbres,10,2,33,DAP
27.52,42.91,21.12,Rojo,NuecesMani,15,15,13,10-26-26
24.68,49.97,70.0,Franco,Cebada,11,4,12,DAP
29.32,64.15,57.63,Negro,Algodon,7,10,10,28-28
31.83,55.75,46.33,Arenoso,Mijo,17,10,12,Urea
40.0,61.76,49.42,Franco,Algodon,4,11,29,Urea
27.8,65.85,31.27,Arcilloso,Trigo,9,3,26,20-20
31.7,55.64,40.28,Arenoso,Maiz,13,2,13,17-17-17
29.0,65.07,70.0,Rojo,Maiz,10,2,32,DAP
29.04,70.01,36.9,Negro,Cebada,12,0,13,DAP
27.98,42.2,60.29,Arcilloso,Legumbres,7,17,14,20-20
